,약국명,주소,전화번호,토요일영업여부,일요일영업여부,토요일종료시간,일요일종료시간
40,365약국,"서울특별시 성북구 동소문로 321, 1층 (길음동)",02-985-1365,Y,Y,2030,2030
41,365약국,"서울특별시 중랑구 면목로 지하407, 면목역 지하1층 108호 (면목동)",02-2208-0365,Y,Y,2230,2230
42,365역삼역약국,"서울특별시 강남구 테헤란로 지하156, 역삼역 2호선 지하상가 127호 (역삼동)",050-71424-0368,Y,Y,1800,1800
43,365열린약국,"서울특별시 구로구 남부순환로97길 3, KS프리미어빌딩 105호 (개봉동)",02-3666-0784,Y,Y,2230,2230
44,365열린약국,"서울특별시 영등포구 영중로 119, 리마크빌 영등포 2층 204-2호 (영등포동8가)",02-2633-2800,Y,Y,2200,2200
45,365열린약국,"서울특별시 강서구 공항대로41길 52, 버들빌딩 1층 (등촌동)",02-3661-3650,Y,Y,2500,2500
46,365열린약국,서울특별시 관악구 남부순환로 1615 (신림동),02-874-2332,Y,Y,2330,2330
47,365열린약국,"서울특별시 마포구 백범로 199, 메트로디오빌빌딩 108호 (신공덕동)",02-6010-2720,Y,Y,1700,1700
48,365올리브약국,"서울특별시 강북구 도봉로 242, 한국전력 강북성북지사 1층 (미아동)",02-985-9989,Y,Y,1800,1800
49,365자양미소약국,"서울특별시 광진구 뚝섬로 606, 1층 (자양동)",02-453-7985,Y,Y,2200,2200
50,365정화약국,"서울특별시 노원구 상계로 59, 동익빌딩 1층 7,8호 (상계동)",02-935-4869,Y,Y,2200,2100
51,365종로약국,"서울특별시 동대문구 전농로 60-1, 1층 (답십리동)",02-2215-8704,Y,Y,2300,2300
52,365플러스약국,"서울특별시 동대문구 천호대로 133, 홈플러스 동대문점 지하2층 (용두동)",02-963-0110,Y,Y,2200,2200
53,3층메디칼약국,"서울특별시 송파구 양재대로 1222, 올림픽프라자 23-1,23호 (방이동)",02-401-7657,Y,Y,1800,1800
54,3층엠코약국,"서울특별시 중랑구 망우로 353 C동 309호 (상봉동, 상봉 프레미어스 엠코)",02-434-7707,Y,Y,1700,1700
55,3층온누리약국,"서울특별시 마포구 월드컵북로 230, 305호 (중동, 현대상가)",02-306-4743,Y,N,1500,None
56,3층중앙약국,"서울특별시 강남구 논현로28길 43, 3층 (도곡동)",02-577-2501,Y,N,1300,None
57,3층하나약국,서울특별시 송파구 올림픽로35길 112 장미아파트 비상가 (신천동),02-412-3358,Y,N,1500,None
58,3층한사랑약국,서울특별시 서초구 반포대로 287  (반포동),02-592-5775,Y,N,1400,None
59,41약국,"서울특별시 양천구 목동동로 293, 현대41타워 1층 36호, 37호 (목동)",02-2654-7774,Y,N,2000,None
60,4층 다나 약국,"서울특별시 관악구 관악로 195, 4층 408호 (봉천동, 관악위버폴리스)",02-878-9529,Y,N,1330,None
61,4층다나약국,"서울특별시 관악구 관악로 195, 4층 408호 (봉천동, 관악위버폴리스)",02-878-9529,Y,N,1330,None
62,4층현약국,"서울특별시 동대문구 천호대로 425, 4층 401호 (장안동)",02-2245-3015,Y,N,1400,None
63,505약국,"서울특별시 구로구 구로동로42길 58, (구로동)",02-856-5050,Y,N,1800,None
64,537약국,"서울특별시 강남구 논현로 537, 지하1층 (역삼동)",02-555-0537,Y,N,1600,None
65,5층 하늘약국,"서울특별시 강동구 고덕로 133, 강동롯데캐슬퍼스트아파트 5층 513호 (암사동)",02-427-2949,Y,N,1400,None
66,5층약국,"서울특별시 강남구 선릉로 324, SH타워 5층 (대치동)",02-508-5030,Y,Y,1600,1330
67,5층엔약국,"서울특별시 관악구 신림로 350, 5층 (신림동, 서원프라자, 태영아파트)",02-877-3080,Y,Y,1500,1400
68,7번약국,"서울특별시 강북구 도봉로 339, 1층 (수유동)",02-904-7773,Y,Y,2200,2100
69,7층애약국,"서울특별시 강남구 테헤란로78길 8, 7층 일부(대치동, 현빌딩)",02-567-0409,Y,N,1900,None
70,7형제약국,"서울특별시 강동구 진황도로 179, 1층 (둔촌동)",02-478-9855,Y,N,2200,None
71,8번가위드팜약국,"서울특별시 서대문구 성산로 515, 석란 1층 (대신동)",02-313-4588,Y,N,1300,None
72,8층약국,"서울특별시 서초구 서초중앙로 125, 로이어즈타워 8층 803호 (서초동)",02-582-8885,Y,N,1600,None
73,DMC온누리약국,"서울특별시 마포구 월드컵북로 361, 302호 (상암동, DMC이안상암2단지)",02-483-1457,Y,N,1400,None
74,E-삼성약국,서울특별시 강남구 일원로 53 (일원동) ,02-3412-1254,Y,N,1300,None
75,SK온누리약국,"서울특별시 강북구 솔샘로 184, 에스케이북한산시티 112~113호 (미아동)",02-983-8895,Y,N,1700,None
76,SooPharm수약국,서울특별시 강서구 화곡로61길 26 (등촌동),02-2659-0053,Y,N,1800,None
77,W스토아청와약국,서울특별시 구로구 디지털로 227 (가리봉동),02-855-1482,Y,Y,2300,2300
78,W스토어참좋은약국,"서울특별시 성북구 동소문로 34, 1층 (동소문동3가, 연진빌딩)",02-921-1255,Y,N,1700,None
79,delight이화약국,"서울특별시 마포구 월드컵로3길 14, 220호 (합정동)",02-332-3984,Y,Y,2100,2100
80,i튼튼약국,"서울특별시 노원구 동일로 1059, (공릉동)",02-972-0246,Y,Y,1600,1600
81,the사랑약국,"서울특별시 노원구 덕릉로 662  (중계동, 주공3단지아파트)",02-933-3678,Y,N,1700,None
82,가고싶은이화사랑약국,"서울특별시 강서구 공항대로 지하267, 발산역(5호선) 515-106호 (마곡동)",02-3663-6922,Y,N,1200,None
83,가까운단골약국,"서울특별시 강동구 동남로 891, 현대델리안오피스텔 102호 (명일동)",02-441-8855,Y,N,1330,None
84,가까운동문약국,"서울특별시 성북구 고려대로17길 3, 지하1층 (안암동2가)",02-929-2111,Y,N,1800,None
85,가까운사랑약국,"서울특별시 강동구 양재대로 1576, 삼익빌딩 1층 (명일동)",02-428-4428,Y,Y,1600,1400
86,가까운신촌약국,"서울특별시 서대문구 연세로 40, 1~4층 (창천동)",02-362-1001,Y,N,1400,None
87,가까운약국,"서울특별시 금천구 독산로 133, 1층 (시흥동)",02-802-7779,Y,N,1430,None
88,가까운약국,서울특별시 서대문구 모래내로 364 (홍은동),02-394-7789,Y,N,1800,None
89,가까운약국,"서울특별시 관악구 양녕로 46, 112호 (봉천동, 메카플러스)",02-883-7266,Y,Y,1700,1400
90,가까운약국,서울특별시 강서구 공항대로 426  (화곡동),02-2697-7796,Y,N,1600,None
91,가까운약국,"서울특별시 영등포구 당산로 34, 로데오 ？ 쇼핑몰 1층 (문래동3가)",02-2671-8231,Y,N,1500,None
92,가까운약국,"서울특별시 동대문구 천호대로 313 10호, 11호 (답십리동, 태영빌딩)",02-3394-4882,Y,N,1500,None
93,가까운약국,서울특별시 성북구 보문로 44 (보문동7가),02-3291-5354,Y,N,2030,None
94,가까운약국,"서울특별시 은평구 통일로 738, 1층 3호 (불광동)",02-356-9813,Y,Y,2200,2200
95,가까운온누리약국,"서울특별시 양천구 목동서로 349, 센트럴프라자 106호 (신정동)",02-2650-8828,Y,Y,2100,2100
96,가까운우리약국,"서울특별시 은평구 통일로 1031, 101호 (진관동)",02-355-6637,Y,N,1300,None
97,가까운우리약국,"서울특별시 용산구 대사관로31길 7-10, 1층 (한남동)",02-749-6011,Y,N,1330,None
98,가까운천사약국,"서울특별시 강서구 공항대로36길 9, 1층 (내발산동)",02-2662-0266,Y,N,1330,None
99,가까운현대약국,서울특별시 강북구 한천로132길 28 (번동),02-6405-5452,Y,N,1400,None
100,가나안약국,"서울특별시 중랑구 봉우재로 39, (면목동)",02-434-9259,Y,N,2230,None
101,가나안약국,"서울특별시 성북구 고려대로13길 8, 1층 (안암동2가)",02-928-4545,Y,N,1500,None
102,가나약국,"서울특별시 중구 다산로 171, 1층 (신당동)",050-71353-4364,Y,N,1300,None
103,가나약국,서울특별시 은평구 서오릉로 46,02-352-5088,Y,N,1300,None
104,가든건강약국,"서울특별시 송파구 충민로 52, 가든파이브웍스 S동 307호 (문정동)",070-4667-4880,Y,Y,1700,1700
105,가든건강온누리약국,"서울특별시 송파구 충민로 52, 가든파이브웍스 S동 307호 (문정동)",070-4667-4880,Y,Y,1700,1700
106,가든파이브약국,서울특별시 송파구 충민로 66  (문정동),02-2157-0600,Y,Y,2200,2200
107,가락약국,"서울특별시 송파구 송파대로 286, 신흥빌딩 (가락동)",02-449-8421,Y,N,1900,None
108,가락온누리약국,"서울특별시 송파구 동남로 207, (가락동)",02-400-3332,Y,Y,1500,1500
109,가람약국,"서울특별시 구로구 경인로40길 12, GB빌딩 1층 (개봉동)",02-2614-7645,Y,Y,1600,1600
110,가람약국,"서울특별시 양천구 공항대로 564, 1층 5호 (목동)",02-2658-3518,Y,Y,2030,2000
111,가람약국,"서울특별시 은평구 통일로 1030, 은평헤스티아 1,2층 101, 201호호 (진관동)",02-351-3200,Y,N,1300,None
112,가람약국,"서울특별시 종로구 사직로8길 4, 301동 B127호 (사직동, 광화문 풍림스페이스본)",02-733-9303,Y,Y,2000,2000
113,가로수길약국,서울특별시 강남구 압구정로 108 (신사동) 1층 7호,02-518-4201,Y,N,1800,None
114,가산소중한약국,"서울특별시 금천구 디지털로9길 68, 대륭포스트타워 5차 1층 106호 (가산동)",02-3281-8005,Y,N,1330,None
115,가산약국,서울특별시 금천구 가산로 116 (가산동),02-838-1158,Y,Y,2200,2200
116,가산행운약국,"서울특별시 금천구 디지털로10길 78, 126호 (가산동)",02-6230-5755,Y,N,1600,None
117,가야온누리약국,"서울특별시 도봉구 노해로65길 17-9, 102,103호 (창동,삼원프라자)",02-997-4540,Y,N,1300,None
118,가양누리약국,"서울특별시 강서구 허준로 198, 가양프라자 1층 104, 105호 (가양동)",02-3663-8013,Y,N,1600,None
119,가양메디칼약국,서울특별시 강서구 양천로57길 13,02-3661-3055,Y,N,1600,None
120,가양종로약국,서울특별시 강서구 양천로 460,02-2659-2356,Y,N,1630,None
121,가양플러스약국,"서울특별시 강서구 양천로 431, 홈플러스가양점 B2층 X3,YF호 (가양동)",050-71353-9527,Y,Y,2030,2030
122,가양하늘약국,"서울특별시 강서구 화곡로68길 3, 1층 105호 (등촌동)",02-3665-0130,Y,Y,2000,2000
123,가온약국,"서울특별시 강남구 학동로 413, 청담빌딩 2층 (청담동)",02-545-0546,Y,N,1400,None
124,가온약국,"서울특별시 강동구 올림픽로 658, 오복빌딩 2층 (천호동)",02-473-4302,Y,N,1600,None
125,가온약국,"서울특별시 강서구 마곡중앙8로 85, 파인스퀘어Ⅱ 109호 (마곡동)",070-4794-9611,Y,N,1700,None
126,가온약국,"서울특별시 서초구 강남대로 465, 교보타워 B동 지상1층 (서초동)",02-533-1884,Y,N,1800,None
127,가온온누리약국,"서울특별시 양천구 목동동로 293, 현대41타워 1층 38호 (목동)",02-2061-1119,Y,N,1830,None
128,가은약국,서울특별시 관악구 봉천로 486 (봉천동),02-878-9669,Y,Y,2200,1500
129,가장빠른천사약국,서울특별시 송파구 강동대로 74 잠실올림픽아이파크 상가 1층 103호 (풍납동),02-483-8875,Y,N,1900,None
130,가장큰이대약국,"서울특별시 강서구 공항대로 248, 111~113, 206호 (마곡동)",02-2662-8279,Y,Y,1900,1800
131,가장큰태평양약국,서울특별시 용산구 대사관로 52  (한남동),02-790-3376,Y,N,1330,None
132,가장큰현대아산약국,"서울특별시 송파구 강동대로 67, 1층 (풍납동)",02-488-4214,Y,N,1330,None
133,가정약국,"서울특별시 양천구 목동중앙본로 128-2, 1층 (목동)",02-2648-5110,Y,Y,1800,1300
134,가정약국,서울특별시 용산구 청파로 333 (청파동1가),02-713-6200,Y,N,1800,None
135,가정약국,"서울특별시 성북구 오패산로3길 158, 1층 (하월곡동)",02-6082-3979,Y,N,1400,None
136,가족사랑약국,서울특별시 강북구 오패산로52길 39 (미아동),02-945-3720,Y,N,1600,None
137,가좌진약국,서울특별시 서대문구 모래내로 137 1층 (남가좌동),02-372-7749,Y,N,1430,None
138,가톨릭정문약국,"서울특별시 은평구 통일로 1031, 1층 102호 (진관동)",02-389-9846,Y,N,1330,None
139,감람약국,서울특별시 송파구 문정로13길 11-10 (가락동),02-443-7173,Y,N,1900,None
140,감마약국,서울특별시 강남구 압구정로 336  (신사동),02-547-8990,Y,N,2000,None
141,감초당약국,서울특별시 송파구 백제고분로41길 11  (송파동),02-412-0306,Y,Y,2100,2100
142,감초당약국,"서울특별시 동대문구 약령중앙로 11, 1층 (제기동)",02-963-1174,Y,N,1800,None
143,감초당온누리약국,"서울특별시 동대문구 한천로 242, 1층 (전농동)",02-438-1314,Y,N,1600,None
144,감초약국,서울특별시 강서구 강서로 38,02-2602-5884,Y,N,2100,None
145,갑진약국,서울특별시 은평구 수색로 260  (수색동),02-372-6931,Y,N,1630,None
146,강남구청역약국,"서울특별시 강남구 학동로 지하 346, 강남구청역 B1층 111호 (삼성동)",02-511-6252,Y,Y,1800,1800
147,강남굿모닝약국,서울특별시 강남구 남부순환로 2615 (도곡동) 극동스타클래스208호,02-529-4155,Y,N,2000,None
148,강남리더스약국,"서울특별시 강남구 헌릉로 569, 1층 105호 (세곡동)",02-3414-8001,Y,N,1430,None
149,강남메디칼약국,"서울특별시 서초구 방배로 174, 1층 (방배동, 태창빌딩)",02-594-0801,Y,N,1600,None
150,강남메디칼온누리약국,서울특별시 강남구 삼성로 233  (대치동),02-568-6644,Y,N,1800,None
151,강남미소약국,"서울특별시 강남구 논현로86길 22, 1층 (역삼동)",02-555-5640,Y,N,1400,None
152,강남미약국,"서울특별시 강남구 강남대로 376, 1층 1호 (역삼동)",02-501-2105,Y,Y,1900,1600
153,강남백년가약국,"서울특별시 서초구 효령로 431, 서초동 청화오피스텔 102호 (서초동)",02-597-0119,Y,N,1430,None
154,강남백세약국,서울특별시 강남구 도곡로 448  (대치동),02-566-3138,Y,Y,1930,1900
155,강남보선약국,서울특별시 강남구 도곡로 516  (대치동),02-568-2310,Y,N,2200,None
156,강남봄약국,"서울특별시 서초구 마방로6길 8-45, 103호 (양재동)",02-557-9480,Y,N,1400,None
157,강남사랑약국,"서울특별시 서초구 남부순환로 2201, 111호 (방배동)",02-523-9775,Y,N,1400,None
158,강남새천년온누리약국,"서울특별시 강남구 도곡로 523, 1층 (대치동)",02-552-3524,Y,Y,2230,2230
159,강남성지약국,"서울특별시 서초구 강남대로 419, 파고다타워 B2층 101호 (서초동)",050-713-2968,Y,N,1800,None
160,강남세계로약국,"서울특별시 강남구 논현로 52, 남현빌딩 1층 (개포동)",02-572-2720,Y,Y,2130,2000
161,강남셀리뉴약국,"서울특별시 강남구 도산대로 513, 양원빌딩 1층 101호 (청담동)",02-400-1640,Y,N,1400,None
162,강남썬약국,"서울특별시 강남구 테헤란로4길 6, 강남역 센트럴 푸르지오 시티 1층 118호 (역삼동)",02-567-7637,Y,N,1930,None
163,강남씨티약국,"서울특별시 강남구 강남대로 416, 1층 (역삼동, 창림빌딩)",02-553-1608,Y,Y,2130,2030
164,강남약국,서울특별시 강동구 양재대로 1355 (성내동),02-486-7823,Y,Y,1600,1300
165,강남약국,"서울특별시 서초구 강남대로 463, 102호 (서초동,리젠타워)",070-7755-2030,Y,N,1900,None
166,강남엘약국,"서울특별시 서초구 서초대로77길 9, 강남 누드죤빌딩 104호 (서초동)",02-533-7737,Y,N,1700,None
167,강남역2번출구약국,"서울특별시 강남구 강남대로 388, 강남센타빌딩 지하 2층 2호 (역삼동)",02-565-5490,Y,Y,1700,1200
168,강남역스타약국,"서울특별시 강남구 테헤란로4길 6, 지하1층 b106호 (역삼동)",02-6326-8908,Y,N,1700,None
169,강남온누리약국,"서울특별시 강남구 선릉로 406, 102호 (대치동)",02-566-6480,Y,Y,1900,2200
170,강남온누리약국,"서울특별시 강남구 선릉로 406, 102호 (대치동)",050-71351-6480,Y,Y,1900,1300
171,강남웰약국,서울특별시 강남구 강남대로 432 1층 (역삼동),02-6440-5656,Y,Y,2200,2200
172,강남정성약국,"서울특별시 강남구 언주로 639, 1층 (논현동)",02-3446-9720,Y,N,1500,None
173,강남제일온누리약국,서울특별시 강남구 테헤란로 139,02-555-7790,Y,N,1600,None
174,강남조은약국,"서울특별시 강남구 남부순환로361길 6, 105호 (도곡동)",02-571-9515,Y,N,1400,None
175,강남태평양약국,"서울특별시 강남구 선릉로 309, SJ빌딩 1층 (역삼동)",02-555-2017,Y,N,1700,None
176,강남퍼스트약국,"서울특별시 강남구 도산대로 104 (논현동, 1st Avenue)",02-515-7292,Y,N,1700,None
177,강남프라자약국,"서울특별시 강남구 학동로 323 (논현동, 한미빌딩)",02-514-4222,Y,Y,2100,2000
178,강남허브약국,서울특별시 강남구 학동로 342,02-3014-9272,Y,N,1800,None
179,강동더본약국,"서울특별시 강동구 양재대로 1465, 마루홈타운 107호 (길동)",02-477-8280,Y,N,1930,None
180,강동메디칼약국,서울특별시 강동구 올림픽로 686 (천호동),02-483-0108,Y,N,1300,None
181,강동미래약국,서울특별시 강동구 올림픽로 782,02-442-6263,Y,N,1700,None
182,강동보건약국,서울특별시 강동구 성내로 40 (성내동),02-488-4100,Y,N,1500,None
183,강동새경희약국,"서울특별시 강동구 동남로73길 13, 1층 (명일동)",02-3428-0100,Y,N,1600,None
184,강동성실약국,"서울특별시 강동구 진황도로 81, 강동투웨니퍼스트 1층 101호 (길동)",02-478-7001,Y,Y,2200,2200
185,강동소망약국,"서울특별시 강동구 천호대로 1111, 1층 (길동, 정우빌딩)",02-487-6464,Y,N,1500,None
186,강동솔약국,"서울특별시 강동구 양재대로 1473, 희헌타워 1층 (길동)",02-474-2696,Y,N,1800,None
187,강동온누리약국,"서울특별시 강동구 양재대로 1570, 미래빌딩 1층 (명일동)",02-2135-7572,Y,Y,1800,1600
188,강동우리약국,"서울특별시 강동구 천호대로173길 12, EY빌딩 (길동)",02-479-1150,Y,N,1330,None
189,강동원약국,"서울특별시 강동구 동남로 891, 103호 (명일동)",02-6081-0101,Y,N,1300,None
190,강동웰빙약국,"서울특별시 강동구 천호대로 1124, 1층 (성내동)",02-473-4959,Y,N,1530,None
191,강동천사약국,"서울특별시 강동구 올림픽로 806, 1층 104호 (암사동, 까사팔공육)",02-2359-3974,Y,N,1400,None
192,강동태평양약국,서울특별시 강동구 양재대로 1343 (성내동),02-473-3377,Y,Y,2130,2130
193,강동포도약국,서울특별시 강동구 진황도로 74 (천호동),02-423-3005,Y,Y,1600,1800
194,강동프라자약국,"서울특별시 강동구 올림픽로 624, 강동메디컬센터 1층 (성내동)",02-470-0203,Y,N,1400,None
195,강동한우리약국,서울특별시 강동구 올림픽로 778,02-481-3237,Y,Y,2000,1830
196,강림약국,서울특별시 동작구 시흥대로 668-2 (신대방동),02-832-8975,Y,N,2130,None
197,강변그랜드약국,서울특별시 광진구 광나루로56길 63 (구의동) 프라임프라자상가 1층,02-447-4842,Y,Y,1800,1800
198,강북김약국,"서울특별시 강북구 도봉로49길 8, 1층 (미아동)",02-980-1717,Y,N,1530,None
199,강북다모아약국,서울특별시 강북구 도봉로 79 (미아동),02-945-2088,Y,N,1600,None
200,강북메디칼약국,서울특별시 강북구 도봉로 190 (미아동),02-981-9512,Y,N,1630,None
201,강북열린약국,"서울특별시 동대문구 전농로 110, 1층 (답십리동)",02-2248-5023,Y,N,1530,None
202,강북우리약국,"서울특별시 강북구 한천로 1081, 1층 (수유동)",02-900-8345,Y,N,1800,None
203,강북제일약국,"서울특별시 강북구 도봉로37길 7, 1층 (미아동)",02-985-3116,Y,N,1500,None
204,강빛약국,"서울특별시 강동구 아리수로93나길 26, 성산타워 109,110호 (강일동)",02-6949-5111,Y,Y,1500,1400
205,강서메디칼약국,"서울특별시 강서구 까치산로4길 3, 1층 (화곡동)",02-2602-4567,Y,N,2100,None
206,강서보건약국,"서울특별시 강서구 양천로30길 123-28, 1층 (마곡동)",02-2058-7501,Y,Y,1430,1900
207,강서약국,"서울특별시 강서구 등촌로 75, 지덕빌딩 (등촌동)",02-2644-2154,Y,N,1800,None
208,강서연세약국,"서울특별시 강서구 화곡로 346, 103호 (화곡동,귀뚜라미홈시스텔)",02-2606-1531,Y,Y,1600,1600
209,강서자이온누리약국,"서울특별시 강서구 양천로 401, 109-2호 (가양동, 강서한강자이타워A동)",02-2638-5233,Y,N,1430,None
210,강서종로약국,서울특별시 강서구 강서로 257  (내발산동),02-2606-8268,Y,N,1500,None
211,강서튼튼약국,"서울특별시 강서구 마곡서로 56, 마곡에스비타워Ⅲ 1층 103호 (마곡동)",02-2662-4904,Y,N,1800,None
212,강서홈약국,"서울특별시 강서구 화곡로 398, 홈플러스강서점앤본사사옥 1층 (등촌동)",02-2659-1823,Y,Y,2200,2200
213,강약국,"서울특별시 동작구 서달로 158 (흑석동, 명수대상가104호)",02-816-8766,Y,N,1900,None
214,강약국,"서울특별시 양천구 화곡로 105, (신월동)",02-2698-3027,Y,N,1300,None
215,강약국,"서울특별시 서대문구 세검정로1길 7, (홍은동)",02-396-9677,Y,N,1600,None
216,강약국,서울특별시 강동구 올림픽로80길 43,02-477-0940,Y,N,2030,None
217,강원약국,서울특별시 성북구 아리랑로 117-7 (정릉동),02-914-8814,Y,N,2030,None
218,강원약국,서울특별시 관악구 대학길 36 (신림동),02-874-4575,Y,N,2130,None
219,강일수약국,"서울특별시 강동구 아리수로93나길 54, 경서프라자 103호 (강일동)",02-428-4070,Y,N,1800,None
220,강일약국,서울특별시 강동구 아리수로97길 19,02-426-8192,Y,N,1400,None
221,강일역1번출구약국,"서울특별시 강동구 고덕로 433, 1층 (강일동)",02-3427-2225,Y,N,1500,None
222,강일윤약국,"서울특별시 강동구 아리수로93나길 60, 골드프라자 109호 (강일동)",02-3427-2081,Y,N,1300,None
223,개나리봄약국,"서울특별시 강남구 역삼로 310, 한솔필리아 2층 26호 (역삼동)",02-501-8284,Y,Y,1400,1300
224,개롱약국,"서울특별시 송파구 오금로 396, 1층 114호 (가락동, 에스케이허브파크)",02-407-4609,Y,N,1700,None
225,개미약국,서울특별시 성북구 장월로 128 (장위동),02-915-7770,Y,N,1500,None
226,개봉지예당약국,서울특별시 구로구 고척로 123-1 (개봉동),02-2681-0292,Y,N,1430,None
227,개성약국,"서울특별시 구로구 경인로 176, 308호 (오류동, 시티월드)",02-2615-1862,Y,N,1300,None
228,개포메디칼약국,서울특별시 강남구 개포로 303,02-574-5410,Y,N,1330,None
229,개포이화약국,"서울특별시 강남구 영동대로 22, S401동 0412호 (일원동, 디에이치 자이 개포)",02-459-7320,Y,N,1400,None
230,개포종로온누리약국,"서울특별시 강남구 선릉로 42, 1층 (개포동)",02-575-2485,Y,N,2000,None
231,개포플러스약국,"서울특별시 강남구 선릉로 30, 개포빌딩 1층 (개포동)",02-579-2570,Y,N,1600,None
232,개화약국,서울특별시 강서구 양천로 31,02-2662-8028,Y,Y,2000,2000
233,갤러리아온누리약국,서울특별시 강남구 선릉로 843 107호,02-517-0129,Y,N,2200,None
